Desired=Unknown/Install/Remove/Purge/Hold
| Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend
|/ Err?=(none)/Reinst-required (Status,Err: uppercase=bad)
||/ Name                                     Version                              Architecture Description
+++-========================================-====================================-============-===========================================================================================================================================================================================================================================================
ii  1password                                8.12.32                              amd64        
ii  1password-cli                            2.39.0-1                             amd64        The official 1Password command-line tool.
ii  7zip                                     25.01+dfsg-1~deb13u2                 amd64        7-Zip file archiver with a high compression ratio
ii  aardvark-dns                             1.14.0-3                             amd64        Container-focused DNS server
ii  accerciser                               3.46.2-3                             all          interactive Python accessibility explorer for the GNOME desktop
ii  acl                                      2.3.2-2+b1                           amd64        access control list - utilities
ii  acpi-fakekey                             0.143-5.2                            amd64        tool to generate fake key events
ii  acpi-support                             0.143-5.2                            all          scripts for handling many ACPI events
ii  acpi-support-base                        0.143-5.2                            all          scripts for handling base ACPI events such as the power button
ii  acpid                                    1:2.0.34-1+b1                        amd64        Advanced Configuration and Power Interface event daemon
ii  adb                                      1:34.0.5-12                          amd64        Android Debug Bridge
ii  adduser                                  3.152                                all          add and remove users and groups
ii  adwaita-icon-theme                       48.1-1                               all          default icon theme of GNOME
ii  adwaita-qt:amd64                         1.4.2-3+b4                           amd64        Qt 5 port of GNOME’s Adwaita theme
ii  adwaita-qt6:amd64                        1.4.2-3+b4                           amd64        Qt 6 port of GNOME’s Adwaita theme
ii  aglfn                                    1.7+git20191031.4036a9c-2            all          Adobe Glyph List For New Fonts
ii  alacritty                                0.15.1-3                             amd64        Fast, cross-platform, OpenGL terminal emulator
ii  alloy                                    1.18.1-1                             amd64        Grafana Alloy is an OpenTelemetry Collector distribution with programmable pipelines.
ii  alpine                                   2.26+dfsg-3                          amd64        Text-based email client, friendly for novices but powerful
ii  alpine-doc                               2.26+dfsg-3                          all          Text-based email client's documentation
ii  alsa-topology-conf                       1.2.5.1-3                            all          ALSA topology configuration files
ii  alsa-ucm-conf                            1.2.14-1                             all          ALSA Use Case Manager configuration files
ii  alsa-utils                               1.2.14-1                             amd64        Utilities for configuring and using ALSA
ii  amd64-microcode                          3.20250311.1                         amd64        Platform firmware and microcode for AMD CPUs and SoCs
ii  android-libbase:amd64                    1:34.0.5-12                          amd64        Android base library
ii  android-libboringssl:amd64               14.0.0+r45-2                         amd64        Google's internal fork of OpenSSL for the Android SDK
ii  android-libcutils:amd64                  1:34.0.5-12                          amd64        Android utils library for C
ii  android-liblog:amd64                     1:34.0.5-12                          amd64        Android NDK logger interfaces
ii  android-libziparchive:amd64              1:34.0.5-12                          amd64        Library for ZIP archives
ii  android-udev-rules                       0~20250314+ds-5                      all          udev rules for Android tools
ii  ant                                      1.10.15-1                            all          Java based build tool like make
ii  ant-optional                             1.10.15-1                            all          Java based build tool like make - optional libraries
ii  apparmor                                 4.1.0-1                              amd64        user-space parser utility for AppArmor
ii  apparmor-utils                           4.1.0-1                              all          utilities for controlling AppArmor
ii  appstream                                1.0.5-1                              amd64        Software component metadata management
ii  apt                                      3.0.3                                amd64        commandline package manager
ii  apt-listchanges                          4.8                                  all          package change history notification tool
ii  apt-transport-https                      3.0.3                                all          transitional package for https support
ii  apt-utils                                3.0.3                                amd64        package management related utility programs
ii  arandr                                   0.1.11-2                             all          Simple visual front end for XRandR
ii  arch-test                                0.22-1                               all          detect architectures supported by your machine/kernel
ii  aria2                                    1.37.0+debian-3                      amd64        High speed download utility
ii  asciidoc                                 10.2.1-1                             all          Highly configurable text format for writing documentation
ii  asciidoc-base                            10.2.1-1                             all          Minimal version of asciidoc not suitable for pdf
ii  asciidoc-common                          10.2.1-1                             all          Basic data and configuration files for asciidoc
ii  asciidoc-dblatex                         10.2.1-1                             all          Asciidoc package including dblatex dependencies
ii  asciinema                                2.4.0-1                              all          Record and share your terminal sessions, the right way
ii  aspell                                   0.60.8.1-4                           amd64        GNU Aspell spell-checker
ii  aspell-en                                2020.12.07-0-1                       all          English dictionary for GNU Aspell
ii  at-spi2-common                           2.56.2-1+deb13u1                     all          Assistive Technology Service Provider Interface (common files)
ii  at-spi2-core                             2.56.2-1+deb13u1                     amd64        Assistive Technology Service Provider Interface (D-Bus core)
ii  attr                                     1:2.5.2-3                            amd64        utilities for manipulating filesystem extended attributes
ii  audiowaveform                            1.10.2                               amd64        Audio waveform data and image generator
ii  auditd                                   1:4.0.2-2+b2                         amd64        User space tools for security auditing
ii  autoconf                                 2.72-3.1                             all          automatic configure script builder
ii  automake                                 1:1.17-4                             all          Tool for generating GNU Standards-compliant Makefiles
ii  autopoint                                0.23.1-2                             all          tool for setting up gettext infrastructure in a source package
ii  autotools-dev                            20240727.1                           all          Update infrastructure for config.{guess,sub} files
ii  avahi-daemon                             0.8-16                               amd64        Avahi mDNS/DNS-SD daemon
ii  avahi-utils                              0.8-16                               amd64        Avahi browsing, publishing and discovery utilities
ii  avr-libc                                 1:2.2.1-1                            all          Standard C library for Atmel AVR development
ii  avrdude                                  7.1+dfsg-3+b2                        amd64        software for programming Atmel AVR microcontrollers
ii  base-files                               13.8+deb13u6                         amd64        Debian base system miscellaneous files
ii  base-passwd                              3.6.7                                amd64        Debian base system master password and group files
ii  bash                                     5.2.37-2+b9                          amd64        GNU Bourne Again SHell
ii  bash-completion                          1:2.16.0-7                           all          programmable completion for the bash shell
ii  bat                                      0.25.0-2+b2                          amd64        cat(1) clone with syntax highlighting and git integration
ii  bc                                       1.07.1-4                             amd64        GNU bc arbitrary precision calculator language
ii  bh                                       3.4.3                                all          bh — a click-clop project
ii  bind9-dnsutils                           1:9.20.26-1~deb13u1                  amd64        Clients provided with BIND 9
ii  bind9-host                               1:9.20.26-1~deb13u1                  amd64        DNS Lookup Utility
ii  bind9-libs:amd64                         1:9.20.26-1~deb13u1                  amd64        Shared Libraries used by BIND 9
ii  binutils                                 2.44-3                               amd64        GNU assembler, linker and binary utilities
ii  binutils-arm-none-eabi                   2.44-3+23+b1                         amd64        GNU assembler, linker and binary utilities for ARM Cortex-R/M processors
ii  binutils-avr                             2.43.50.20250108-1                   amd64        Binary utilities supporting Atmel's AVR targets
ii  binutils-common:amd64                    2.44-3                               amd64        Common files for the GNU assembler, linker and binary utilities
ii  binutils-x86-64-linux-gnu                2.44-3                               amd64        GNU binary utilities, for x86-64-linux-gnu target
ii  bison                                    2:3.8.2+dfsg-1+b2                    amd64        YACC-compatible parser generator
ii  blag                                     2.3.3                                all          Blog-aware, static site generator
ii  blt                                      2.5.3+dfsg-8                         amd64        graphics extension library for Tcl/Tk - run-time
ii  borgbackup                               1.4.0-5                              amd64        deduplicating and compressing backup program
rc  brave-browser                            1.86.139                             amd64        The web browser from Brave
ii  bridge-utils                             1.7.1-4+b1                           amd64        Utilities for configuring the Linux Ethernet bridge
ii  bsdextrautils                            2.41.5-0+deb13u1                     amd64        extra utilities from 4.4BSD-Lite
ii  bsdutils                                 1:2.41.5-0+deb13u1                   amd64        basic utilities from 4.4BSD-Lite
ii  btrfs-progs                              6.14-1                               amd64        Checksumming Copy on Write Filesystem utilities
ii  bubblewrap                               0.11.0-2+deb13u1                     amd64        utility for unprivileged chroot and namespace manipulation
ii  build-essential                          12.12                                amd64        Informational list of build-essential packages
ii  buildah                                  1.39.3+ds1-1+b7                      amd64        CLI tool to facilitate building OCI images
ii  busybox-static                           1:1.37.0-6+b8                        amd64        Standalone rescue shell with tons of builtin utilities
ii  bzip2                                    1.0.8-6                              amd64        high-quality block-sorting file compressor - utilities
ii  bzip2-doc                                1.0.8-6                              all          high-quality block-sorting file compressor - documentation
ii  ca-certificates                          20250419                             all          Common CA certificates
ii  ca-certificates-java                     20240118                             all          Common CA certificates (JKS keystore)
ii  cabextract                               1.11-2                               amd64        Microsoft Cabinet file unpacker
ii  caddy                                    2.6.2-12+deb13u1                     amd64        Fast, lightweight web server with automatic HTTPS
ii  calibre                                  8.5.0+ds-1+deb13u3                   all          powerful and easy to use e-book manager
ii  calibre-bin                              8.5.0+ds-1+deb13u3                   amd64        powerful and easy to use e-book manager (binary plugins)
ii  catatonit                                0.2.1-2+b13                          amd64        init process for containers
ii  cd-rw-52x                                0.4.0                                all          cd-rw-52x — a click-clop project
ii  chafa                                    1.14.5-1                             amd64        Image-to-text converter supporting a wide range of symbols, etc.
ii  chromium                                 151.0.7922.137-1~deb13u1             amd64        web browser
ii  chromium-common                          151.0.7922.137-1~deb13u1             amd64        web browser - common resources used by the chromium packages
ii  chromium-sandbox                         151.0.7922.137-1~deb13u1             amd64        web browser - setuid security sandbox for chromium
ii  cl                                       1.15.125                             amd64        A click-clop CLI application
ii  clang                                    1:19.0-63                            amd64        C, C++ and Objective-C compiler (LLVM based), clang binary
